Base SKU,Shopify Store Product Handle,Title,Description,Cabinet Category,Cabinet Sub-Type,Product Weight (lbs),Price,Cost per item,Image Product Image URL,Cabinet Face Frame Type,Cabinet Doors Ct,Cabinet Drawer Ct,Cabinet False Drawer Ct,Cabinet Line,Cabinet Shelf Ct,Cabinet Trash Bin Ct,10x10 Kitchen Package,Cabinet Back Panel Details,Cabinet Bumper Details,Cabinet Door Details,Cabinet Door Hinge Details,Cabinet Door Hinge Ct,Cabinet Drawer Box Details,Cabinet Drawer Slide Details,Cabinet Face Frame Details,Cabinet Finish Details,Cabinet Interior Details,Cabinet Shelf Details,Cabinet Side Panel Details,Cabinet Assembly Video URL,BLUM Hardware Drawer Slides Upgrade Available,BLUM Hardware Drawer Slides Price,BLUM Cabinet Hinge Upgrade Available,BLUM Cabinet Hinge Upgrade Price,Cabinet Finish,Depth,Height,Width
BB-DB36,belmont-blue-3-drawer-base-36-34-5-24,Belmont Blue 3-Drawer Base - 36w 34½h 24d,"Create substantial drawer storage with the Belmont Blue Contemporary Shaker 36″ Three-Drawer Base Cabinet. Spanning 36″W x 34½″H x 24″D, this generous cabinet offers three deep drawers for comprehensive organization. The full-extension slides reveal the entire drawer contents while soft-close mechanisms ensure gentle closure. Perfect for busy kitchens requiring maximum drawer capacity and easy access to essentials.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB36-belmont-shaker-drawer-base-cabinet-3-drawer-36w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,72.00 USD,,,blue,24.0in,34.5in,36.0in
BB-VDB1221,belmont-blue-3-drawer-vanity-12-34-5-21,Belmont Blue 3-Drawer Vanity - 12w 34½h 21d,"Maximize drawer organization with the Belmont Blue Contemporary Shaker Three-Drawer Vanity Base, 12″W x 34½″H x 21″D. Triple drawer configuration eliminates doors for complete drawer-based storage system. Graduated drawer sizes with top for daily items, two deeper drawers for supplies and linens. Ideal for bathrooms prioritizing accessible storage without bending to cabinet interiors. Compact footprint delivers surprising storage capacity through vertical drawer arrangement.",Vanity,Vanity Bases,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/belmont-blue-vanity-base-cabinet-3-drawer-angled-view.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",18in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,72.00 USD,,,blue,21.0in,34.5in,12.0in
BB-VDB1521,belmont-blue-3-drawer-vanity-15-34-5-21,Belmont Blue 3-Drawer Vanity - 15w 34½h 21d,"Triple-drawer vanity organization with the Belmont Blue Contemporary Shaker Drawer Vanity Base, 15″W x 34½″H x 21″D. Three graduated drawers eliminate doors for complete drawer storage. The narrow width maximizes drawer functionality in compact bathrooms. Superior organization for bathrooms prioritizing accessible drawer storage.",Vanity,Vanity Bases,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/belmont-blue-vanity-base-cabinet-3-drawer-angled-view.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",18in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,72.00 USD,,,blue,21.0in,34.5in,15.0in
BB-VDB1821,belmont-blue-3-drawer-vanity-18-34-5-21,Belmont Blue 3-Drawer Vanity - 18w 34½h 21d,"Enhanced drawer vanity with the Belmont Blue Contemporary Shaker Drawer Vanity Base, 18″W x 34½″H x 21″D. Three-drawer system provides organized storage without cabinet doors. The 18″ width balances drawer capacity with bathroom proportions. Perfect for creating efficient bathroom storage with easy drawer access.",Vanity,Vanity Bases,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/belmont-blue-vanity-base-cabinet-3-drawer-angled-view.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",18in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,72.00 USD,,,blue,21.0in,34.5in,18.0in
BB-DB15-4,belmont-blue-4-drawer-base-15-34-5-24,Belmont Blue 4-Drawer Base - 15w 34½h 24d,"Experience ultimate drawer organization with the Belmont Blue Contemporary Shaker Four-Drawer Base, 15″W x 34½″H x 24″D. Unique four-tier configuration with three matching upper drawers plus deeper bottom drawer for varied storage needs. Each drawer operates independently on smooth-gliding full-extension slides. Exceptional solution for organizing tools, linens, office supplies, or kitchen gadgets. Maximum drawer count in minimal floor space revolutionizes storage efficiency.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB15-4-belmont-shaker-drawer-base-cabinet-4-drawer-15w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,96.00 USD,,,blue,24.0in,34.5in,15.0in
BB-DB18-4,belmont-blue-4-drawer-base-18-34-5-24,Belmont Blue 4-Drawer Base - 18w 34½h 24d,"Maximum drawer density with the Belmont Blue Contemporary Shaker Four-Drawer Base, 18″W x 34½″H x 24″D. Four-tier system provides unmatched organization in standard width cabinet. Three matching upper drawers plus deeper bottom drawer for varied storage. The 18″ width balances drawer quantity with usable drawer depth. Ultimate drawer solution for meticulous organization enthusiasts.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB18-4-belmont-shaker-drawer-base-cabinet-4-drawer-18w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,96.00 USD,,,blue,24.0in,34.5in,18.0in
BB-DB21-4,belmont-blue-4-drawer-base-21-34-5-24,Belmont Blue 4-Drawer Base - 21w 34½h 24d,"Four-drawer innovation with the Belmont Blue Contemporary Shaker Quad Drawer Base, 21″W x 34½″H x 24″D. Maximum drawer count at 21″ width provides exceptional organization potential. Three uniform upper drawers with larger bottom drawer for flexibility. Full-extension slides on all four levels ensure complete accessibility. Premium drawer solution for kitchens demanding ultimate organization.",Base Cabinet,Drawer Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/DB21-4-belmont-shaker-drawer-base-cabinet-4-drawer-21w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,,,,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/f8399fc5b37545c1abe3a333f2aaa5f0.mp4,,96.00 USD,,,blue,24.0in,34.5in,21.0in
BB-B12,belmont-blue-base-cabinet-12-34-5-24,Belmont Blue Base Cabinet - 12w 34½h 24d,"Optimize narrow spaces with the Belmont Blue Contemporary Shaker Single Base Cabinet, 12″W x 34½″H x 24″D. Compact design combines single door storage with convenient top drawer for organized essentials. The adjustable shelf adapts to various item heights while the drawer keeps frequently used tools handy. Perfect beside dishwashers, ranges, or filling gaps in kitchen runs. Smart solution for maximizing every inch of kitchen real estate without sacrificing accessibility.",Base Cabinet,Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/B12-belmont-shaker-standard-base-cabinet-1-door-1-drawer-12w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/97bf7d48160240058cc4c69744a7dac6.mp4,,24.00 USD,,8.00 USD,blue,24.0in,34.5in,12.0in
BB-B15,belmont-blue-base-cabinet-15-34-5-24,Belmont Blue Base Cabinet - 15w 34½h 24d,"Standard single-door storage with the Belmont Blue Contemporary Shaker Base Cabinet, 15″W x 34½″H x 24″D. Classic configuration combines door cabinet with convenient top drawer. Adjustable shelf adapts to various storage needs from cookware to pantry items. The 15″ width fits standard kitchen modules while providing substantial capacity. Fundamental building block for organized kitchen storage.",Base Cabinet,Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/B15-belmont-shaker-standard-base-cabinet-1-door-1-drawer-15w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/97bf7d48160240058cc4c69744a7dac6.mp4,,24.00 USD,,8.00 USD,blue,24.0in,34.5in,15.0in
BB-B18,belmont-blue-base-cabinet-18-34-5-24,Belmont Blue Base Cabinet - 18w 34½h 24d,"Versatile base storage with the Belmont Blue Contemporary Shaker Single Base Cabinet, 18″W x 34½″H x 24″D. Optimal width balances storage capacity with kitchen flow and accessibility. Top drawer and adjustable shelf behind door organize diverse items efficiently. The 18″ dimension fits perfectly between appliances or as standalone storage. Essential cabinet size for flexible kitchen planning and organization.",Base Cabinet,Base Kitchen Cabinets,,,,https://cdn.shopify.com/s/files/1/0628/5167/8286/files/B18-belmont-shaker-standard-base-cabinet-1-door-1-drawer-18w-dimension-drawing.jpg,Full Overlay,,,,Belmont,,,,"3/4"" Thick Plywood Back Panel",Doors and drawers come pre-drilled with securely installed rubber bumpers that stay in place and won't fall out over time.,Solid wood frame with HDF center panel.,"Soft-Close, 6-Way Adjustable, 1¼"" Overlay, 110° Opening",,"5/8” Solid Wood, Dovetail Construction",21in Soft-close Under Mount Drawer Slide,"1½""Wide by 3/4"" Thick Hardwood Face Frame","19-step process preps, paints and stains; Oven-dried for a flawless, durable finish",UV Coated Hand Stained Natural Plywood,,"5/8"" Thick Premium Grade Plywood. Outside is painted or stained to match your face frame finish. (FREE add-on comparable to $100+ option at our competition)",https://cdn.shopify.com/videos/c/o/v/97bf7d48160240058cc4c69744a7dac6.mp4,,24.00 USD,,8.00 USD,blue,24.0in,34.5in,18.0in
